                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6314,                   0.58,                      1,                  1.458,             0.00012138,             0.00012138,             0.00012138
                      2,                 1.0578,                   0.94,                      1,                 1.1811,             0.00024866,             0.00024866,             0.00024866
                      3,                0.47826,                      1,                      1,                0.95483,             0.00037467,             0.00037467,             0.00037467
                      4,                0.24636,                      1,                      1,                0.91479,             0.00049941,             0.00049941,             0.00049941
                      5,                0.07427,                      1,                      1,                0.90698,             0.00062288,             0.00062288,             0.00062288
                      6,                0.05444,                      1,                      1,                0.90674,             0.00069633,             0.00069633,             0.00069633
                      7,                0.03924,                      1,                      1,                0.90552,             0.00069633,             0.00069633,             0.00069633
                      8,                0.06236,                      1,                      1,                0.90649,             0.00069279,             0.00069279,             0.00069279
                      9,                0.02368,                      1,                      1,                0.90552,             0.00068926,             0.00068926,             0.00068926
                     10,                0.03761,                      1,                      1,                0.90552,             0.00068573,             0.00068573,             0.00068573
                     11,                0.01681,                      1,                      1,                0.90479,             0.00068219,             0.00068219,             0.00068219
                     12,                0.05116,                      1,                      1,                0.90527,             0.00067866,             0.00067866,             0.00067866
                     13,                0.06268,                      1,                      1,                0.90479,             0.00067512,             0.00067512,             0.00067512
                     14,                0.09187,                      1,                      1,                0.90479,             0.00067159,             0.00067159,             0.00067159
                     15,                0.02768,                      1,                      1,                0.90479,             0.00066805,             0.00066805,             0.00066805
                     16,                0.01409,                      1,                      1,                0.90479,             0.00066452,             0.00066452,             0.00066452
                     17,                0.03149,                      1,                      1,                0.90479,             0.00066099,             0.00066099,             0.00066099
                     18,                0.03211,                      1,                      1,                0.90479,             0.00065745,             0.00065745,             0.00065745
                     19,                0.03036,                      1,                      1,                0.90503,             0.00065392,             0.00065392,             0.00065392
                     20,                0.00913,                      1,                      1,                0.90479,             0.00065038,             0.00065038,             0.00065038
                     21,                0.00557,                      1,                      1,                0.90479,             0.00064685,             0.00064685,             0.00064685
                     22,                0.02231,                      1,                      1,                0.90479,             0.00064331,             0.00064331,             0.00064331
                     23,                0.00772,                      1,                      1,                0.90479,             0.00063978,             0.00063978,             0.00063978
                     24,                0.01942,                      1,                      1,                0.90479,             0.00063625,             0.00063625,             0.00063625
                     25,                0.01088,                      1,                      1,                0.90479,             0.00063271,             0.00063271,             0.00063271
                     26,                0.02147,                      1,                      1,                0.90479,             0.00062918,             0.00062918,             0.00062918
                     27,                0.01345,                      1,                      1,                0.90479,             0.00062564,             0.00062564,             0.00062564
                     28,                0.01199,                      1,                      1,                0.90479,             0.00062211,             0.00062211,             0.00062211
                     29,                0.00666,                      1,                      1,                0.90479,             0.00061857,             0.00061857,             0.00061857
                     30,                0.00739,                      1,                      1,                0.90479,             0.00061504,             0.00061504,             0.00061504
                     31,                0.02212,                      1,                      1,                0.90479,             0.00061151,             0.00061151,             0.00061151
                     32,                0.00463,                      1,                      1,                0.90479,             0.00060797,             0.00060797,             0.00060797
